start point = [5, 5]

results: 
330: [2.0938243  4.39804382] = 1.1983958422057739
331: [2.09026397 4.39707025] = 1.1964411011509275
332: [2.09204317 4.39043425] = 1.194459821245195
333: [2.08846121 4.38947528] = 1.1924790165680756
334: [2.09023499 4.38271299] = 1.190470284459258
335: [2.08663038 4.38176886] = 1.1884620577164917
336: [2.08839833 4.37487412] = 1.1864244060218898
337: [2.08476998 4.37394507] = 1.1843872935903526
338: [2.08653169 4.36691121] = 1.1823191376370357
339: [2.08287842 4.36599752] = 1.1802515590129374
340: [2.08463339 4.35881732] = 1.178151183377295
341: [2.08095395 4.35791927] = 1.1760514277749956
342: [2.08270165 4.35058489] = 1.173916970802255
343: [2.0789947  4.34970281] = 1.171783181743536
344: [2.08073452 4.34220572] = 1.169612617667448
345: [2.07699861 4.34133995] = 1.1674427751836856
346: [2.07872986 4.33367083] = 1.1652338933798219
347: [2.07496343 4.33282176] = 1.1630257933633177
348: [2.07668536 4.32497041] = 1.160776174159127
349: [2.07288672 4.32413845] = 1.1585274042902989
350: [2.07459845 4.31609366] = 1.1562343906137278
351: [2.07076576 4.31527927] = 1.1539423021504658
352: [2.07246631 4.30702869] = 1.1516029661163214
353: [2.06859758 4.30623237] = 1.149264640650473
354: [2.07028584 4.29776234] = 1.1468757439456192
355: [2.06637889 4.29698464] = 1.1444879539951593
356: [2.06805358 4.28827998] = 1.142045900610435
357: [2.06410601 4.28752151] = 1.13960506260492
358: [2.06576568 4.27856531] = 1.1371058420452143
359: [2.06177486 4.27782674] = 1.1346079598487584
360: [2.06341783 4.26860002] = 1.13204707839308
361: [2.05938086 4.2678821 ] = 1.129487674953676
362: [2.06100517 4.2583635 ] = 1.1268600717760946
363: [2.05691883 4.25766707] = 1.124234105734973
364: [2.05852223 4.24783241] = 1.121534049649106
365: [2.05438291 4.2471584 ] = 1.1188358127038485
366: [2.05596274 4.23698011] = 1.1160567738297271
367: [2.05176641 4.23632957] = 1.1132797631926734
368: [2.05331956 4.22577606] = 1.110414251769129
369: [2.04906167 4.22515019] = 1.1075510100038515
370: [2.05058442 4.21418492] = 1.1045903715769514
371: [2.04625981 4.21358507] = 1.101632283127889
372: [2.0477477  4.20216551] = 1.0985664349520885
373: [2.04335047 4.20159323] = 1.0955034643258164
374: [2.04479814 4.18966937] = 1.0923205512312062
375: [2.04032148 4.18912647] = 1.0891409012616369
376: [2.04172234 4.1766389 ] = 1.0858268391533712
377: [2.03715834 4.17612746] = 1.0825164977848982
378: [2.03850425 4.1630048 ] = 1.079054357090903
379: [2.03384361 4.16252728] = 1.0755964854061237
380: [2.03512435 4.14868258] = 1.0719656411701193
381: [2.03035601 4.1482419 ] = 1.0683397300040558
382: [2.03155854 4.1335676 ] = 1.0645146625599378
383: [2.02666918 4.13316729] = 1.0606953426786625
384: [2.02777656 4.11752792] = 1.0566438987956763
