learning rate = 0.01
start point = [0, 0]

results: 
219: [1.976037033957584, 0.9999999882636196] = -7.99942577625845
220: [1.9765162932784324, 0.99999998920253] = -7.9994485155186155
221: [1.9769859674128636, 0.9999999900663276] = -7.999470354304077
222: [1.9774462480646062, 0.9999999908610213] = -7.999491328273637
223: [1.9778973231033141, 0.9999999915921396] = -7.999511471674
224: [1.9783393766412478, 0.9999999922647684] = -7.999530817395709
225: [1.978772589108423, 0.9999999928835887] = -7.99954939702684
226: [1.9791971373262545, 0.9999999934529015] = -7.999567240904578
227: [1.9796131945797293, 0.9999999939766694] = -7.999584378164756
228: [1.9800209306881347, 0.9999999944585358] = -7.999600836789432
229: [1.9804205120743719, 0.999999994901853] = -7.99961664365257
230: [1.9808121018328844, 0.9999999953097047] = -7.999631824563928
231: [1.9811958597962267, 0.9999999956849259] = -7.999646404311196
232: [1.9815719426003022, 0.9999999960301319] = -7.999660406700473
233: [1.9819405037482962, 0.9999999963477213] = -7.999673854595135
234: [1.9823016936733289, 0.9999999966399036] = -7.9996867699531675
235: [1.9826556597998624, 0.9999999969087112] = -7.999699173863022
236: [1.9830025466038652, 0.9999999971560143] = -7.999711086578046
237: [1.9833424956717853, 0.9999999973835335] = -7.999722527549555
238: [1.9836756457583495, 0.9999999975928509] = -7.999733515458593
239: [1.9840021328431838, 0.9999999977854227] = -7.999744068246433
240: [1.98432209018632, 0.9999999979625889] = -7.9997542031438735
241: [1.9846356483825938, 0.9999999981255817] = -7.9997639366993765
242: [1.984942935414942, 0.9999999982755351] = -7.999773284806081
243: [1.985244076706643, 0.9999999984134923] = -7.99978226272776
244: [1.9855391951725092, 0.9999999985404129] = -7.999790885123741
245: [1.985828411269059, 0.9999999986571798] = -7.999799166072841
246: [1.9861118430436777, 0.9999999987646054] = -7.9998071190963564
247: [1.9863896061828041, 0.9999999988634369] = -7.999814757180141
248: [1.986661814059148, 0.999999998954362] = -7.9998220927958075
249: [1.986928577777965, 0.9999999990380127] = -7.999829137921093
250: [1.9871900062224057, 0.9999999991149717] = -7.9998359040594185
251: [1.9874462060979576, 0.999999999185774] = -7.999842402258665
252: [1.9876972819759986, 0.999999999250912] = -7.999848643129222
