learning rate = 0.1
start point = [0, 0]

results: 
187: [3.1433506873935536e-07, 3.1433506873935536e-07] = -2.675298558618244e-09
188: [3.1601600814665615e-07, 3.1601600814665615e-07] = -2.675298615129391e-09
189: [3.1769694758811497e-07, 3.1769694758811497e-07] = -2.675298671640539e-09
190: [3.193778870637316e-07, 3.193778870637316e-07] = -2.675298728151699e-09
191: [3.210588265735062e-07, 3.210588265735062e-07] = -2.6752987846628498e-09
192: [3.227397661174387e-07, 3.227397661174387e-07] = -2.675298841174001e-09
193: [3.2442070569553026e-07, 3.2442070569553026e-07] = -2.6752988976851637e-09
194: [3.261016453077783e-07, 3.261016453077783e-07] = -2.6752989541963184e-09
195: [3.277825849541836e-07, 3.277825849541836e-07] = -2.6752990107074834e-09
196: [3.294635246347474e-07, 3.294635246347474e-07] = -2.67529906721864e-09
197: [3.311444643494691e-07, 3.311444643494691e-07] = -2.6752991237298164e-09
198: [3.328254040983487e-07, 3.328254040983487e-07] = -2.675299180240985e-09
199: [3.3450634388138624e-07, 3.3450634388138624e-07] = -2.675299236752155e-09
200: [3.3618728369858183e-07, 3.3618728369858183e-07] = -2.6752992932633355e-09
201: [3.3786822354993546e-07, 3.3786822354993546e-07] = -2.6752993497745075e-09
202: [3.3954916343544643e-07, 3.3954916343544643e-07] = -2.6752994062856907e-09
203: [3.412301033551155e-07, 3.412301033551155e-07] = -2.675299462796865e-09
204: [3.429110433089432e-07, 3.429110433089432e-07] = -2.6752995193080402e-09
205: [3.445919832969282e-07, 3.445919832969282e-07] = -2.6752995758192363e-09
206: [3.4627292331906985e-07, 3.4627292331906985e-07] = -2.6752996323304232e-09
207: [3.479538633753706e-07, 3.479538633753706e-07] = -2.6752996888416123e-09
208: [3.4963480346582905e-07, 3.4963480346582905e-07] = -2.675299745352802e-09
209: [3.513157435904458e-07, 3.513157435904458e-07] = -2.6752998018640023e-09
210: [3.5299668374922064e-07, 3.5299668374922064e-07] = -2.675299858375204e-09
211: [3.546776239421532e-07, 3.546776239421532e-07] = -2.6752999148864068e-09
212: [3.5635856416924415e-07, 3.5635856416924415e-07] = -2.675299971397592e-09
213: [3.5803950443049216e-07, 3.5803950443049216e-07] = -2.6753000279087976e-09
214: [3.5972044472589915e-07, 3.5972044472589915e-07] = -2.6753000844200036e-09
215: [3.6140138505546307e-07, 3.6140138505546307e-07] = -2.6753001409312208e-09
216: [3.630823254191851e-07, 3.630823254191851e-07] = -2.6753001974424296e-09
217: [3.647632658170651e-07, 3.647632658170651e-07] = -2.6753002539536397e-09
218: [3.664442062491032e-07, 3.664442062491032e-07] = -2.6753003104648507e-09
219: [3.681251467152993e-07, 3.681251467152993e-07] = -2.6753003669760728e-09
220: [3.69806087215653e-07, 3.69806087215653e-07] = -2.6753004234872858e-09
