learning rate = 0.1
start point = [0.75, -1.25]

results: 
168: [-1.1539442864546197, -1.5295868399290673] = -5.401204900760981e-20
169: [-1.1626187201816696, -1.52995486396086] = -4.8539737475524e-20
170: [-1.1712330948486454, -1.5303247856688194] = -4.3616889322799623e-20
171: [-1.179786627570244, -1.5306967644465752] = -3.918861639831842e-20
172: [-1.1882785045961124, -1.5310709622347105] = -3.520549857034146e-20
173: [-1.1967078805232931, -1.5314475435333326] = -3.162303968912666e-20
174: [-1.2050738775192789, -1.531826675396919] = -2.840117766388013e-20
175: [-1.2133755845596534, -1.5322085274093984] = -2.55038432686838e-20
176: [-1.2216120566872046, -1.5325932716360617] = -2.289856282889878e-20
177: [-1.229782314297632, -1.5329810825500432] = -2.055610042187712e-20
178: [-1.2378853424589642, -1.5333721369298634] = -1.8450135661178914e-20
179: [-1.2459200902729608, -1.533766613724366] = -1.6556973524647e-20
180: [-1.25388547028629, -1.5341646938814635] = -1.4855283039113064e-20
181: [-1.2617803579613982, -1.5345665601363376] = -1.3325861951822244e-20
182: [-1.269603591217232, -1.534972396754458] = -1.1951424804355517e-20
183: [-1.277353970051292, -1.535382389224646] = -1.0716412081823025e-20
184: [-1.2850302562553866, -1.5357967238967216] = -9.606818341848482e-21
185: [-1.2926311732386309, -1.536215587558048] = -8.610037436232222e-21
186: [-1.3001554059718443, -1.5366391669431922] = -7.714723125872009e-21
187: [-1.3076016010697844, -1.537067648169768] = -6.910663558694098e-21
188: [-1.3149683670271113, -1.5375012160941908] = -6.188668232360924e-21
189: [-1.322254274626451, -1.5379400535800827] = -5.540466200672648e-21
190: [-1.3294578575370457, -1.538384340672089] = -4.958614405973511e-21
191: [-1.336577613123943, -1.538834253667663] = -4.436415130964648e-21
192: [-1.3436120034882224, -1.5392899640792943] = -3.967841663420266e-21
193: [-1.3505594567594006, -1.5397516374797247] = -3.54747135740745e-21
194: [-1.357418368661966, -1.5402194322228147] = -3.1704253557544854e-21
195: [-1.3641871043779732, -1.5406934980330742] = -2.8323143116063663e-21
196: [-1.3708640007277146, -1.541173974457518] = -2.5291895126977404e-21
197: [-1.3774473686902546, -1.541660989174148] = -2.2574988712609046e-21
198: [-1.3839354962847312, -1.542154656152664] = -2.014047295842924e-21
199: [-1.390326651832661, -1.542655073663976] = -1.7959610094070082e-21
200: [-1.396619087619247, -1.5431623221374056] = -1.6006554213484455e-21
201: [-1.402811043970164, -1.5436764618662087] = -1.4258062000745072e-21
202: [-1.408900753757794, -1.544197530564526] = -1.269323227914133e-21
203: [-1.4148864473469993, -1.5447255407825347] = -1.1293271517254066e-21
204: [-1.4207663579876468, -1.545260477189431] = -1.0041282710875906e-21
205: [-1.4265387276564503, -1.545802293738354] = -8.922075315990861e-22
206: [-1.4322018133457435, -1.5463509107320097] = -7.921994139159164e-22
207: [-1.437753893791906, -1.546906211812722] = -7.028765299811907e-22
208: [-1.4431932766304787, -1.5474680409063788] = -6.231357566389655e-22
209: [-1.4485183059588291, -1.548036199155967] = -5.519857537098517e-22
210: [-1.4537273702815985, -1.548610441886828] = -4.885357288118579e-22
211: [-1.4588189108080216, -1.5491904756525468] = -4.319853249093184e-22
212: [-1.4637914300644996, -1.5497759554174797] = -3.8161551890437646e-22
213: [-1.4686435007804457, -1.550366481938859] = -3.367804306971807e-22
214: [-1.4733737750007874, -1.5509615994182122] = -2.9689995214505e-22
215: [-1.4779809933745651, -1.551560793498104] = -2.61453114362415e-22
216: [-1.4824639945660312, -1.552163489685911] = -2.2997211991460985e-22
217: [-1.4868217247328968, -1.5527690522907365] = -2.0203697376596775e-22
218: [-1.4910532470152942, -1.5533767839628259] = -1.772706534185557e-22
